Unique ID;Player;Age;Best Pos;Position;Nation;CA;PA;Ambition;Consistency;Important Matches;Injury Proneness;Professionalism;Height;Determination;Personality;Preferred Foot;AT Apps;Int Apps;AT Gls;Corners;Crossing;Dribbling;Finishing;First Touch;Free Kick Taking;Heading;Long Shots;Long Throws;Marking;Passing;Penalty Taking;Tackling;Technique;Aggression;Anticipation;Bravery;Composure;Concentration;Decisions;Flair;Leadership;Off The Ball;Positioning;Team Work;Vision;Work Rate;Acceleration;Agility;Balance;Jumping Reach;Natural Fitness;Pace;Stamina;Strength;Aerial Reach;Command Of Area;Communication;Eccentricity;Handling;Kicking;One On Ones;Punching;Reflexes;Rushing Out (Tendency);Throwing
2002310356;Simone Lancia;18;DM;DM, M (LC);Italy;89;135;13;8;9;5;11;191 cm;18;Driven;Left-Footed;7;0;0;7;3;10;5;11;5;5;5;5;10;10;5;11;15;8;11;11;9;9;15;5;2;9;9;12;12;10;12;8;8;15;14;9;12;10;3;3;2;2;2;2;1;3;1;1;2
2002349346;Niccolò Savoldi;16;AM (R);M/AM (R);Italy;70;70;11;12;8;9;15;173 cm;10;Fairly Professional;Left-Footed;0;0;0;10;12;11;8;10;9;8;10;3;3;12;6;3;15;12;9;7;8;8;10;12;10;10;5;8;8;11;8;10;14;6;6;11;7;6;2;3;1;1;1;3;1;2;2;1;3
2002402187;Silvio Casale;16;AM (R);M/AM (R);Italy;66;124;11;9;11;7;11;173 cm;15;Fairly Determined;Right-Footed;0;0;0;2;5;8;10;12;2;3;3;1;1;5;6;2;12;8;6;7;6;5;6;14;2;7;1;10;7;13;13;9;12;6;15;13;10;2;2;1;1;2;3;2;1;2;4;3;1
2002349332;Alessio Marangoni;16;AM (R);M (RC), AM (R), ST (C);Italy;111;159;14;9;3;5;11;162 cm;12;Realist;Right-Footed;27;0;5;9;13;12;16;16;13;12;11;6;11;12;6;5;15;19;11;10;9;10;11;18;4;14;9;12;14;12;12;13;17;3;10;11;11;4;1;4;2;2;1;3;3;3;1;4;1
2000495935;Francesco Reita;21;AM (R);M (R), AM (RC);Italy;100;100;12;10;3;8;12;191 cm;13;Balanced;Left-Footed;31;0;4;5;11;13;9;14;5;6;9;4;5;13;5;4;11;10;6;4;11;2;11;13;10;7;5;9;11;13;14;13;10;15;9;14;10;7;1;2;1;3;3;3;1;3;3;1;1
2002349334;Edmond Ymeri;16;M (L);M/AM (L);Albania;60;106;7;7;15;10;11;175 cm;5;Low Determination;Right-Footed;0;0;0;6;12;6;5;8;3;3;4;1;2;5;4;3;12;13;7;3;6;5;5;6;11;5;4;13;8;9;13;14;8;8;15;12;5;6;2;1;2;3;1;4;2;1;2;1;3
2002402180;Robin Berisha;15;AM (L);M/AM (L);Albania;83;131;11;5;15;6;15;164 cm;16;Resolute;Right-Footed;0;0;0;5;8;11;6;12;8;1;4;4;5;12;5;4;13;9;6;8;9;7;7;13;4;10;4;11;6;15;13;14;7;3;12;12;13;6;4;1;2;1;1;1;1;2;1;4;2
2002402185;Bryan Cappelli;16;M (L);M/AM (RL);Italy;60;78;12;7;13;7;16;174 cm;18;Driven;Left-Footed;0;0;0;3;9;6;6;6;6;3;6;3;9;5;2;5;10;7;6;4;7;5;5;8;4;6;6;9;8;14;14;11;7;5;6;12;12;5;2;2;1;3;3;2;2;2;1;3;2
2002310369;Giacomo Mauro;17;M (L);M/AM (L);Italy;73;77;2;9;9;11;9;182 cm;5;Low Determination;Left-Footed;0;0;0;4;9;10;6;9;6;2;6;4;3;5;5;5;8;14;6;9;6;5;8;7;12;8;3;9;7;9;11;14;12;10;14;15;10;8;3;1;2;1;4;3;2;2;2;4;1
2002349344;Marco Coppola;16;AM (L);M/AM (L);Italy;61;106;6;6;15;8;10;177 cm;3;Low Determination;Left-Footed;0;0;0;3;9;7;7;10;2;4;4;1;2;8;7;4;12;9;6;8;8;3;8;11;7;11;3;7;4;7;13;11;10;9;10;11;12;4;2;3;2;3;3;2;3;1;2;3;3
2002267239;Andrea De Bianchi;18;AM (R);M (R), AM (RL);Italy;104;118;14;8;10;13;11;183 cm;15;Fairly Determined;Right-Footed;21;0;0;4;11;11;13;11;3;3;7;2;6;8;7;5;8;8;7;6;13;4;9;12;12;9;7;14;12;12;16;14;14;10;15;13;11;10;3;3;1;1;1;2;3;1;1;2;2
2002267250;Giuseppe Latini;18;AM (L);M/AM (L);Italy;104;104;14;9;15;7;16;185 cm;16;Resolute;Left-Footed;12;0;1;4;8;9;3;10;7;6;5;5;6;9;2;7;13;14;12;3;8;7;10;8;11;6;5;13;12;10;15;15;10;13;14;12;13;12;1;2;1;3;2;2;3;3;1;2;1
2002188327;Paolo Moccia;19;AM (L);M/AM (L), ST (C);Italy;100;113;5;8;15;10;12;173 cm;13;Unambitious;Right-Footed;32;0;1;7;13;9;5;10;8;3;5;2;2;10;10;6;15;12;6;15;9;5;5;16;4;7;2;13;5;14;15;17;14;5;14;14;13;7;3;1;1;1;1;2;2;2;1;3;1
2002310370;Davide Branca;18;M (R);M/AM (RL);Italy;87;116;5;8;13;10;13;187 cm;13;Unambitious;Right-Footed;0;0;0;5;14;12;14;7;1;6;5;3;6;9;3;6;7;16;10;10;9;5;9;12;8;7;4;10;8;10;12;13;16;12;6;14;12;9;1;2;1;2;1;2;1;1;4;3;2
2002188333;Alessio Giordano;19;M (L);M (RL), AM (L);Italy;100;100;7;6;10;5;10;181 cm;12;Balanced;Left-Footed;32;0;0;4;10;8;4;8;6;5;7;3;6;12;3;4;12;9;10;9;8;5;13;10;6;7;4;9;8;11;14;13;16;13;10;14;15;10;1;1;1;1;2;3;2;1;1;2;2
2002349341;Moreno Di Matteo;17;AM (L);M/AM (LC);Italy;80;86;11;6;9;8;16;179 cm;4;Fairly Professional;Left-Footed;0;0;0;7;8;11;9;10;8;6;9;4;10;7;7;6;10;10;9;7;8;6;8;8;15;12;7;8;11;8;14;12;13;11;11;10;12;7;1;2;3;1;1;3;3;2;2;2;1
2000462806;Pietro Rota Bulò;22;AM (C);AM (C), ST (C);Italy;96;96;13;7;7;10;12;176 cm;13;Balanced;Right-Footed;67;0;6;4;5;6;14;8;5;8;13;3;4;12;9;5;10;12;11;7;13;10;14;11;2;13;8;8;9;11;15;13;7;7;13;13;9;5;3;3;2;1;2;2;2;1;2;2;1
2002188334;Samuele Lavalle;19;AM (C);AM (C), ST (C);Italy;101;101;10;15;10;6;12;166 cm;13;Balanced;Right-Footed;89;0;13;8;9;13;9;12;10;7;8;3;5;10;4;4;15;12;9;6;12;7;11;15;11;13;4;9;8;14;12;14;10;4;13;12;15;9;1;4;2;2;2;2;1;1;2;1;2
2000488659;Rosindo Zanni;21;ST (C);AM (C), ST (C);Italy;116;116;12;5;14;9;14;188 cm;16;Fairly Determined;Right-Footed;113;0;35;4;6;15;15;13;4;12;7;4;5;6;8;1;12;7;10;6;13;8;14;12;6;12;3;7;8;7;15;15;5;17;15;14;13;9;3;2;1;1;3;3;3;3;3;2;3
2002310365;Daniele Petti;18;AM (C);AM (C), ST (C);Italy;65;79;7;8;4;10;10;178 cm;8;Balanced;Left-Footed;0;0;0;3;5;8;12;9;5;5;7;2;4;9;3;2;11;8;7;7;8;7;11;11;3;8;5;6;10;11;13;11;9;8;13;12;12;8;1;1;1;2;3;3;1;1;2;1;3
2002267240;Maurizio Condomitti;19;ST (C);AM (R), ST (C);Italy;115;130;9;10;12;8;7;182 cm;12;Balanced;Right-Footed;69;0;10;9;9;10;16;15;11;12;10;3;4;9;6;3;16;13;12;17;15;7;11;14;8;14;6;17;10;14;10;10;13;13;14;10;11;12;1;1;1;1;1;1;3;3;4;4;2
2002267246;Kujtim Shala;19;AM (C);AM (C), ST (C);Albania;81;94;11;14;11;14;5;171 cm;5;Temperamental;Left-Footed;4;0;0;6;11;9;9;9;4;5;11;2;4;12;4;4;12;8;9;9;9;6;13;17;4;12;4;7;8;9;15;12;7;8;12;11;9;8;1;1;3;1;2;2;2;2;3;3;3
2002267245;Giuseppe Lopez;18;AM (R);AM (RC), ST (C);Italy;89;89;10;8;11;10;11;178 cm;11;Balanced;Left-Footed;0;0;0;6;7;13;8;10;6;7;4;3;4;8;3;4;14;11;7;8;10;6;6;13;15;13;3;17;11;13;13;10;13;6;13;12;14;10;1;2;4;3;3;3;3;3;1;2;1
2002310363;Damián Canale;17;ST (C);AM (RLC), ST (C);Argentina;75;75;8;15;4;9;10;170 cm;10;Balanced;Right-Footed;0;0;0;7;11;12;10;9;9;6;4;1;1;9;1;3;15;9;7;10;10;2;9;15;14;10;3;9;7;12;12;12;8;6;12;9;10;5;1;1;3;1;1;2;2;3;2;2;3
2000103339;Jordan Longhi;25;AM (L);AM (L), ST (C);Italy;114;114;10;14;8;5;13;181 cm;12;Balanced;Right-Footed;137;0;22;5;11;12;13;12;5;12;9;5;7;11;13;8;14;11;12;13;12;11;12;13;11;14;7;13;10;12;13;15;10;12;14;14;10;9;1;2;1;2;3;1;3;1;2;1;1
2002402174;Giuseppe Pappalardo;16;ST (C);AM (LC), ST (C);Italy;50;120;8;14;13;8;10;186 cm;11;Balanced;Right-Footed;0;0;0;6;5;12;12;10;10;4;5;2;7;6;5;1;12;10;5;6;12;5;6;11;6;10;6;9;9;4;6;5;13;10;16;7;5;12;3;4;3;1;1;1;2;3;1;3;2
2002402188;Luca Panepinto;16;AM (R);AM (RLC), ST (C);Italy;69;85;13;15;8;15;14;172 cm;10;Balanced;Right-Footed;0;0;0;4;8;5;4;7;4;4;5;3;2;7;7;7;12;7;10;9;11;7;8;13;1;9;2;3;8;7;13;12;5;8;10;11;12;4;3;1;1;3;1;2;2;1;3;3;1
2002310359;Mauro Campagnari;18;ST (C);ST (C);Italy;104;144;13;8;9;4;15;180 cm;11;Fairly Professional;Right-Footed;16;0;2;6;7;13;13;16;6;15;7;4;2;11;6;3;12;10;13;5;16;6;9;12;5;13;7;8;8;11;12;10;14;8;13;11;9;8;1;1;2;2;3;2;4;1;4;3;1
2002349345;Mattia Gallo;17;ST (C);ST (C);Italy;75;90;3;6;7;15;15;178 cm;6;Fairly Professional;Left-Footed;0;0;0;1;5;8;16;10;1;11;6;2;5;7;6;5;11;11;8;11;9;7;12;10;2;9;8;8;8;12;10;9;14;7;13;10;9;13;1;3;3;1;1;1;2;4;3;2;3
2002402181;Michael Viti;16;ST (C);ST (C);Italy;55;111;12;7;10;12;15;177 cm;13;Fairly Professional;Right-Footed;0;0;0;5;5;10;15;9;7;9;7;4;1;7;6;4;9;17;5;19;6;5;5;8;1;11;7;10;8;9;9;8;14;8;7;8;6;12;3;1;2;3;1;3;3;2;1;2;2
